Date : 2021-09-29 16:58:06
Directory : d:\Software\Flutter\dodact_v1
Total : 232 files,  22666 codes, 1652 comments, 2084 blanks, all 26402 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\widgets\story_components\story_page_view.dart                    | Dart       |          0 |         72 |          9 |         81 |
| d:\Software\Flutter\dodact_v1\lib\ui\discover\widgets\story_container.dart                                     | Dart       |          0 |        107 |         12 |        119 |
| d:\Software\Flutter\dodact_v1\lib\ui\event\event_detail.dart                                                   | Dart       |        447 |          8 |         32 |        487 |
| d:\Software\Flutter\dodact_v1\lib\ui\event\events_page.dart                                                    | Dart       |        304 |         13 |         18 |        335 |
| d:\Software\Flutter\dodact_v1\lib\ui\event\filtered_events_page.dart                                           | Dart       |         57 |          1 |          6 |         64 |
| d:\Software\Flutter\dodact_v1\lib\ui\event\widgets\parallax_events.dart                                        | Dart       |        277 |         20 |         41 |        338 |
| d:\Software\Flutter\dodact_v1\lib\ui\event\widgets\parallax_example.dart                                       | Dart       |        281 |         20 |         41 |        342 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\general_page.dart                                                 | Dart       |        148 |          7 |          3 |        158 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\subpages\contributed_post_list_page.dart                          | Dart       |         58 |          0 |          7 |         65 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\subpages\contributions_page.dart                                  | Dart       |        132 |         12 |         15 |        159 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\subpages\spinner_page.dart                                        | Dart       |        181 |          0 |         10 |        191 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\announcement_part.dart                                    | Dart       |         35 |          0 |          4 |         39 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\contributions_part.dart                                   | Dart       |         27 |          4 |          2 |         33 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\event_part.dart                                           | Dart       |         41 |          0 |          3 |         44 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\podcast_part.dart                                         | Dart       |         53 |          0 |          3 |         56 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\post_card.dart                                            | Dart       |         35 |         52 |          7 |         94 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\post_part.dart                                            | Dart       |         28 |          0 |          3 |         31 |
| d:\Software\Flutter\dodact_v1\lib\ui\general\widgets\spinner_part.dart                                         | Dart       |         25 |          4 |          2 |         31 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\screens\group_detail_page.dart                                      | Dart       |        212 |         21 |         26 |        259 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\screens\groups_page.dart                                            | Dart       |        172 |         17 |         17 |        206 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_add_member_page.dart                                 | Dart       |        195 |         12 |         13 |        220 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_event_management_page.dart                           | Dart       |          7 |          0 |          2 |          9 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_invitations_page.dart                                | Dart       |         98 |         11 |         10 |        119 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_management_page.dart                                 | Dart       |         99 |          0 |          4 |        103 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_member_management_page.dart                          | Dart       |        135 |          1 |         10 |        146 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\subpages\group_post_management_page.dart                            | Dart       |          7 |          0 |          2 |          9 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\filtered_group_view.dart                                    | Dart       |         86 |         62 |          7 |        155 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\group_events_tab_view.dart                                  | Dart       |         30 |          0 |          2 |         32 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\group_info_tab_view.dart                                    | Dart       |         25 |          0 |          2 |         27 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\group_members_tab_view.dart                                 | Dart       |         58 |          0 |          3 |         61 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\group_photos_tab_view.dart                                  | Dart       |         43 |          0 |          3 |         46 |
| d:\Software\Flutter\dodact_v1\lib\ui\group\widgets\group_posts_tab_view.dart                                   | Dart       |         48 |          0 |          3 |         51 |
| d:\Software\Flutter\dodact_v1\lib\ui\home_page.dart                                                            | Dart       |        106 |          8 |         11 |        125 |
| d:\Software\Flutter\dodact_v1\lib\ui\interest\insterests_page.dart                                             | Dart       |          0 |        238 |         25 |        263 |
| d:\Software\Flutter\dodact_v1\lib\ui\interest\interests_util.dart                                              | Dart       |         61 |          0 |          3 |         64 |
| d:\Software\Flutter\dodact_v1\lib\ui\interest\temporary_interests_page.dart                                    | Dart       |        118 |          0 |         10 |        128 |
| d:\Software\Flutter\dodact_v1\lib\ui\interest\temporary_registration_interests_page.dart                       | Dart       |        116 |          0 |          6 |        122 |
| d:\Software\Flutter\dodact_v1\lib\ui\interest\yedek.dart                                                       | Dart       |        231 |          0 |         23 |        254 |
| d:\Software\Flutter\dodact_v1\lib\ui\landing_page.dart                                                         | Dart       |        195 |          7 |         14 |        216 |
| d:\Software\Flutter\dodact_v1\lib\ui\onboarding\onboarding_page.dart                                           | Dart       |         96 |          2 |          3 |        101 |
| d:\Software\Flutter\dodact_v1\lib\ui\profile\screens\drawer_pages\calendar_page.dart                           | Dart       |         35 |          0 |          2 |         37 |
